"Step","sdss-RLSum_LO - utility","sdss-RLSum_LO - utility__MIN","sdss-RLSum_LO - utility__MAX","sdss-RLSum_HI - utility","sdss-RLSum_HI - utility__MIN","sdss-RLSum_HI - utility__MAX","sdss-RLSum_BL - utility","sdss-RLSum_BL - utility__MIN","sdss-RLSum_BL - utility__MAX","sdss-RLSum_DC - utility","sdss-RLSum_DC - utility__MIN","sdss-RLSum_DC - utility__MAX","sdss-RLSum_IC - utility","sdss-RLSum_IC - utility__MIN","sdss-RLSum_IC - utility__MAX"
"0","3.174250022365172","3.174250022365172","3.174250022365172","6.193552830767031","6.193552830767031","6.193552830767031","-3.6830519769062895","-3.6830519769062895","-3.6830519769062895","-3.746206855166846","-3.746206855166846","-3.746206855166846","-3.161696735435303","-3.161696735435303","-3.161696735435303"
"1","2.5032540377014985","2.5032540377014985","2.5032540377014985","5.454507596272023","5.454507596272023","5.454507596272023","-4.193936202599297","-4.193936202599297","-4.193936202599297","1.3499615271221301","1.3499615271221301","1.3499615271221301","2.4879643311517547","2.4879643311517547","2.4879643311517547"
"2","2.318340141603126","2.318340141603126","2.318340141603126","2.5781550606138763","2.5781550606138763","2.5781550606138763","1.941806654455486","1.941806654455486","1.941806654455486","-0.75587846414535","-0.75587846414535","-0.75587846414535","-8.827559166253959","-8.827559166253959","-8.827559166253959"
"3","8.157337556540485","8.157337556540485","8.157337556540485","10.633450052215254","10.633450052215254","10.633450052215254","6.457240268181506","6.457240268181506","6.457240268181506","1.4127206034493522","1.4127206034493522","1.4127206034493522","-4.82397623851812","-4.82397623851812","-4.82397623851812"
"4","4.506318232140945","4.506318232140945","4.506318232140945","4.1681796733201795","4.1681796733201795","4.1681796733201795","-3.8925918158706243","-3.8925918158706243","-3.8925918158706243","6.723567498033229","6.723567498033229","6.723567498033229","5.317470748507042","5.317470748507042","5.317470748507042"
"5","4.430780129649538","4.430780129649538","4.430780129649538","-0.41560453353579735","-0.41560453353579735","-0.41560453353579735","-4.093750440255052","-4.093750440255052","-4.093750440255052","-0.04581721097218143","-0.04581721097218143","-0.04581721097218143","-2.9387234477054385","-2.9387234477054385","-2.9387234477054385"
"6","12.954363723699808","12.954363723699808","12.954363723699808","10.68123510710421","10.68123510710421","10.68123510710421","5.492972622050332","5.492972622050332","5.492972622050332","8.32175379958154","8.32175379958154","8.32175379958154","3.4778691097484704","3.4778691097484704","3.4778691097484704"
"7","1.861290154661762","1.861290154661762","1.861290154661762","8.098498670051201","8.098498670051201","8.098498670051201","0.9901972666066371","0.9901972666066371","0.9901972666066371","4.7374720370164","4.7374720370164","4.7374720370164","5.567499152238532","5.567499152238532","5.567499152238532"
"8","-1.401231751880738","-1.401231751880738","-1.401231751880738","4.029555358024841","4.029555358024841","4.029555358024841","8.57339511882836","8.57339511882836","8.57339511882836","4.650676653329726","4.650676653329726","4.650676653329726","7.064006929794799","7.064006929794799","7.064006929794799"
"9","5.2782116532468475","5.2782116532468475","5.2782116532468475","11.026013981149264","11.026013981149264","11.026013981149264","-2.0418260189867214","-2.0418260189867214","-2.0418260189867214","5.027548799860984","5.027548799860984","5.027548799860984","6.888612772245643","6.888612772245643","6.888612772245643"
