"Step","spotify-RLSum_LO - utility","spotify-RLSum_LO - utility__MIN","spotify-RLSum_LO - utility__MAX","spotify-RLSum_HI - utility","spotify-RLSum_HI - utility__MIN","spotify-RLSum_HI - utility__MAX","spotify-RLSum_BL - utility","spotify-RLSum_BL - utility__MIN","spotify-RLSum_BL - utility__MAX","spotify-RLSum_DC - utility","spotify-RLSum_DC - utility__MIN","spotify-RLSum_DC - utility__MAX","spotify-RLSum_IC - utility","spotify-RLSum_IC - utility__MIN","spotify-RLSum_IC - utility__MAX"
"18","8.54893439259832","8.54893439259832","8.54893439259832","19.693253136162685","19.693253136162685","19.693253136162685","3.231813125284859","3.231813125284859","3.231813125284859","13.062785947057327","13.062785947057327","13.062785947057327","16.601918367357296","16.601918367357296","16.601918367357296"
"19","8.44596857743115","8.44596857743115","8.44596857743115","13.24128523898185","13.24128523898185","13.24128523898185","4.877410802268288","4.877410802268288","4.877410802268288","4.1176086011744575","4.1176086011744575","4.1176086011744575","14.345595510674094","14.345595510674094","14.345595510674094"
"20","10.541562933810914","10.541562933810914","10.541562933810914","12.478476260528481","12.478476260528481","12.478476260528481","2.956745089626164","2.956745089626164","2.956745089626164","10.328983017110726","10.328983017110726","10.328983017110726","12.61145970285554","12.61145970285554","12.61145970285554"
"21","7.491846140838985","7.491846140838985","7.491846140838985","0.05049218730587057","0.05049218730587057","0.05049218730587057","3.8930178370080366","3.8930178370080366","3.8930178370080366","11.70708994910998","11.70708994910998","11.70708994910998","11.73195958435621","11.73195958435621","11.73195958435621"
"22","11.430921901778644","11.430921901778644","11.430921901778644","5.867654171599654","5.867654171599654","5.867654171599654","5.1783556900787255","5.1783556900787255","5.1783556900787255","5.098240244026958","5.098240244026958","5.098240244026958","17.455618040390988","17.455618040390988","17.455618040390988"
"23","10.47082516578851","10.47082516578851","10.47082516578851","14.871199101626154","14.871199101626154","14.871199101626154","3.7267290857798225","3.7267290857798225","3.7267290857798225","12.524360421201468","12.524360421201468","12.524360421201468","15.74907123610414","15.74907123610414","15.74907123610414"
"24","5.314313987553656","5.314313987553656","5.314313987553656","10.762481046158376","10.762481046158376","10.762481046158376","3.981825776635128","3.981825776635128","3.981825776635128","11.074705030832478","11.074705030832478","11.074705030832478","6.837878583177913","6.837878583177913","6.837878583177913"
"25","6.949534974472536","6.949534974472536","6.949534974472536","16.16249199392777","16.16249199392777","16.16249199392777","6.979748092687125","6.979748092687125","6.979748092687125","2.4713715392335485","2.4713715392335485","2.4713715392335485","10.477020705458786","10.477020705458786","10.477020705458786"
"26","8.088248030583458","8.088248030583458","8.088248030583458","12.937046206747597","12.937046206747597","12.937046206747597","6.3877917281428545","6.3877917281428545","6.3877917281428545","11.467618136085381","11.467618136085381","11.467618136085381","8.730746902092005","8.730746902092005","8.730746902092005"
"27","11.904098001165261","11.904098001165261","11.904098001165261","14.005800711768345","14.005800711768345","14.005800711768345","4.590772232628453","4.590772232628453","4.590772232628453","7.5858948811473885","7.5858948811473885","7.5858948811473885","8.085506030418827","8.085506030418827","8.085506030418827"
